id,tasks,request_city,team,team_city,team_names,LC,start,finish,op_time
0,[1],Краснодар,[7],Севастополь,[СЕ_1],27.4905,0,20.6333,3.000000
1,"[0,1,2]",Волгоград,"[6,8]",Севастополь,"[СЕ_0,СЕ_2]",145.589,0,48,7.000000
2,[1],Иркутск,[10],Хабаровск,[ХА_1],116.757,0,109.9,3.000000
3,[1],Казань,[1],Москва,[МО_1],31.075,0,30.7,3.000000
4,"[0,2,1]",Краснодар,"[3,4]",Санкт-Петербург,"[СА_0,СА_1]",211.052,0,76.1333,8.000000
5,"[1,2,0]",Челябинск,"[9,11]",Хабаровск,"[ХА_0,ХА_2]",517.952,0,176.1,8.000000
6,"[2,1]",Казань,"[0,2]",Москва,"[МО_0,МО_2]",65.2036,0,32.7,5.000000
7,"[2,0]",Краснодар,[7],Севастополь,[СЕ_1],109.131,20.6333,45.2667,7.000000
8,[2],Волгоград,[0],Москва,[МО_0],71.4619,32.7,70.0333,5.000000
9,"[2,0]",Саратов,[7],Севастополь,[СЕ_1],253.564,45.2667,105.167,7.000000
10,"[2,1,0]",Самара,"[6,8]",Севастополь,"[СЕ_0,СЕ_2]",463.695,48,120.967,5.000000
11,"[2,0,1]",Волгоград,"[5,3]",Санкт-Петербург,"[СА_2,СА_0]",486.749,76.1333,137,5.000000
