id,tasks,request_city,team,team_city,team_names,LC,start,finish,op_time
0,[1],Краснодар,[7],Севастополь,[СЕ_1],27.4905,0,20.6333,3.000000
1,"[0,1,2]",Волгоград,"[7,8]",Севастополь,"[СЕ_1,СЕ_2]",230.953,20.6333,66.6333,5.000000
2,[1],Иркутск,[10],Хабаровск,[ХА_1],116.757,0,109.9,3.000000
3,[1],Казань,[1],Москва,[МО_1],31.075,0,30.7,3.000000
4,"[0,2,1]",Краснодар,"[7,8]",Севастополь,"[СЕ_1,СЕ_2]",478.12,66.6333,89.2667,5.000000
5,"[1,2,0]",Челябинск,"[5,3]",Санкт-Петербург,"[СА_2,СА_0]",197.116,0,65.8333,5.000000
6,"[2,1]",Казань,"[0,1]",Москва,"[МО_0,МО_1]",126.604,30.7,63.4,5.000000
7,"[2,0]",Краснодар,"[8,7]",Севастополь,"[СЕ_2,СЕ_1]",601.099,89.2667,111.9,5.000000
8,[2],Волгоград,[0],Москва,[МО_0],102.162,63.4,100.733,5.000000
9,"[2,0]",Саратов,"[3,4]",Санкт-Петербург,"[СА_0,СА_1]",299.97,65.8333,115.167,5.000000
10,"[2,1,0]",Самара,"[3,5]",Санкт-Петербург,"[СА_0,СА_2]",578.183,115.167,154.467,5.000000
11,"[2,0,1]",Волгоград,"[6,7]",Севастополь,"[СЕ_0,СЕ_1]",590.395,111.9,157.9,5.000000
