id,tasks,request_city,team,team_city,team_names,LC,start,finish,op_time
0,[1],Краснодар,[7],Севастополь,[СЕ_1],27.4905,0,20.6333,3.000000
1,"[0,1,2]",Волгоград,"[8,6]",Севастополь,"[СЕ_2,СЕ_0]",142.795,0,46,5.000000
2,[1],Иркутск,[10],Хабаровск,[ХА_1],116.757,0,109.9,3.000000
3,[1],Казань,[1],Москва,[МО_1],31.075,0,30.7,3.000000
4,"[0,2,1]",Краснодар,[7],Севастополь,[СЕ_1],118.651,20.6333,48.2667,10.000000
5,"[1,2,0]",Челябинск,"[5,3]",Санкт-Петербург,"[СА_2,СА_0]",197.116,0,65.8333,5.000000
6,"[2,1]",Казань,"[0,2]",Москва,"[МО_0,МО_2]",65.2036,0,32.7,5.000000
7,"[2,0]",Краснодар,"[6,8]",Севастополь,"[СЕ_0,СЕ_2]",289.874,46,68.6333,5.000000
8,[2],Волгоград,[0],Москва,[МО_0],71.4619,32.7,70.0333,5.000000
9,"[2,0]",Саратов,[7],Севастополь,[СЕ_1],262.564,48.2667,108.167,7.000000
10,"[2,1,0]",Самара,"[3,5]",Санкт-Петербург,"[СА_0,СА_2]",380.849,65.8333,105.133,5.000000
11,"[2,0,1]",Волгоград,"[6,8]",Севастополь,"[СЕ_0,СЕ_2]",485.961,68.6333,114.633,5.000000
