id,tasks,request_city,team,team_city,team_names,LC,start,finish,op_time
0,"[0,2,1,3]",Самара,"[0,1,3]",Москва,"[МО_0,МО_1,МО_3]",130.653,0,26.5333,7.000000
1,"[3,0,1]",Екатеринбург,"[2,4,5]",Москва,"[МО_2,МО_4,МО_5]",183.118,0,54.9333,4.000000
2,"[1,3,0,2]",Саратов,"[6,7]",Москва,"[МО_6,МО_7]",146.989,0,37.2,9.000000
3,"[2,0,3,1]",Иркутск,"[22,26]",Хабаровск,"[ХА_0,ХА_4]",448.285,0,114.9,8.000000
4,"[4,3,1,2]",Уфа,"[8,9]",Санкт-Петербург,"[СА_0,СА_1]",228.357,0,58.7,11.000000
5,"[2,4,3]",Уфа,[10],Санкт-Петербург,[СА_2],147.439,0,62.7,15.000000
6,"[0,1,2,4]",Саратов,"[16,17,18]",Севастополь,"[СЕ_0,СЕ_1,СЕ_2]",247.683,0,63.9,11.000000
7,"[1,4]",Казань,"[11,12]",Санкт-Петербург,"[СА_3,СА_4]",122.234,0,48.4667,6.000000
8,"[3,1]",Уфа,[13],Санкт-Петербург,[СА_5],116.712,0,54.7,7.000000
9,"[0,1,4,3]",Краснодар,"[19,20]",Севастополь,"[СЕ_3,СЕ_4]",100.639,0,29.6333,12.000000
10,"[0,1,2]",Челябинск,[14],Санкт-Петербург,[СА_6],204.809,0,70.8333,10.000000
11,"[2,4,3,1]",Ростов,"[23,25,27]",Хабаровск,"[ХА_1,ХА_3,ХА_5]",998.484,0,245.2,7.000000
12,"[0,1,4,3]",Казань,"[0,1,3]",Москва,"[МО_0,МО_1,МО_3]",473.377,26.5333,64.2333,10.000000
13,"[0,4]",Саратов,[24],Хабаровск,[ХА_2],424.678,0,218.667,8.000000
14,"[0,4]",Пермь,"[21,19]",Севастополь,"[СЕ_5,СЕ_3]",295.582,29.6333,130.067,6.000000
15,"[0,1]",Уфа,[20],Севастополь,[СЕ_4],295.488,29.6333,116.967,5.000000
16,"[3,4,1,2]",Екатеринбург,"[6,7]",Москва,"[МО_6,МО_7]",507.468,37.2,99.1333,11.000000
17,"[1,3,4,0]",Пермь,"[15,11,13]",Санкт-Петербург,"[СА_7,СА_3,СА_5]",784.489,54.7,123.267,8.000000
18,"[0,3,2,4]",Ростов,"[2,4,5]",Москва,"[МО_2,МО_4,МО_5]",681.003,54.9333,97.3,7.000000
19,"[3,2,0,4]",Челябинск,"[0,1,3]",Москва,"[МО_0,МО_1,МО_3]",954.084,64.2333,118.3,8.000000
20,"[2,4,1]",Ростов,[12],Санкт-Петербург,[СА_4],390.379,48.4667,121.367,14.000000
21,"[3,0,4,1]",Екатеринбург,"[8,9,14]",Санкт-Петербург,"[СА_0,СА_1,СА_6]",1107.26,70.8333,142.533,6.000000
22,"[0,3,4,1]",Пермь,"[2,4,5]",Москва,"[МО_2,МО_4,МО_5]",1099.88,97.3,150.1,7.000000
23,"[3,1,2]",Иркутск,"[6,7]",Москва,"[МО_6,МО_7]",1215.85,99.1333,267.767,8.000000
24,"[0,2]",Ростов,[16],Севастополь,[СЕ_0],181.32,63.9,96.2667,7.000000
