id,tasks,request_city,team,team_city,team_names,LC,start,finish,op_time
0,"[0,2,1,3]",Самара,"[6,4,3]",Москва,"[МО_6,МО_4,МО_3]",117.355,0,24.5333,5.000000
1,"[3,0,1]",Екатеринбург,"[7,6,2]",Москва,"[МО_7,МО_6,МО_2]",308.064,24.5333,79.4667,4.000000
2,"[1,3,0,2]",Саратов,"[6,5,4]",Москва,"[МО_6,МО_5,МО_4]",573.889,79.4667,112.667,5.000000
3,"[2,0,3,1]",Иркутск,"[22,27,26]",Хабаровск,"[ХА_0,ХА_5,ХА_4]",463.138,0,111.9,5.000000
4,"[4,3,1,2]",Уфа,"[0,5,1,4]",Москва,"[МО_0,МО_5,МО_1,МО_4]",1209.92,112.667,151.6,6.000000
5,"[2,4,3]",Уфа,"[3,0,5]",Москва,"[МО_3,МО_0,МО_5]",1473.98,151.6,190.533,6.000000
6,"[0,1,2,4]",Саратов,"[6,3,1]",Москва,"[МО_6,МО_3,МО_1]",2263.2,190.533,224.733,6.000000
7,"[1,4]",Казань,"[1,0]",Москва,"[МО_1,МО_0]",1398.31,224.733,258.433,6.000000
8,"[3,1]",Уфа,"[3,1]",Москва,"[МО_3,МО_1]",2289.17,258.433,295.367,4.000000
9,"[0,1,4,3]",Краснодар,"[20,18,17]",Севастополь,"[СЕ_4,СЕ_2,СЕ_1]",107.912,0,23.6333,6.000000
10,"[0,1,2]",Челябинск,"[1,5]",Москва,"[МО_1,МО_5]",2411.13,295.367,346.433,5.000000
11,"[2,4,3,1]",Ростов,"[21,17,20,19]",Севастополь,"[СЕ_5,СЕ_1,СЕ_4,СЕ_3]",368.264,23.6333,55,6.000000
12,"[0,1,4,3]",Казань,"[5,3,7]",Москва,"[МО_5,МО_3,МО_7]",4022.61,346.433,380.133,6.000000
13,"[0,4]",Саратов,"[0,1]",Москва,"[МО_0,МО_1]",2075.28,346.433,380.633,6.000000
14,"[0,4]",Пермь,"[0,1]",Москва,"[МО_0,МО_1]",2403.68,380.633,432.433,6.000000
15,"[0,1]",Уфа,"[4,6]",Москва,"[МО_4,МО_6]",1130.09,224.733,260.667,3.000000
16,"[3,4,1,2]",Екатеринбург,"[3,5,6,7]",Москва,"[МО_3,МО_5,МО_6,МО_7]",6519.4,380.133,437.067,6.000000
17,"[1,3,4,0]",Пермь,"[5,3,0]",Москва,"[МО_5,МО_3,МО_0]",5478.01,437.067,488.867,6.000000
18,"[0,3,2,4]",Ростов,"[20,18,19]",Севастополь,"[СЕ_4,СЕ_2,СЕ_3]",546.713,55,86.3667,6.000000
19,"[3,2,0,4]",Челябинск,"[6,5,1]",Москва,"[МО_6,МО_5,МО_1]",5888.73,488.867,540.933,6.000000
20,"[2,4,1]",Ростов,"[18,17,20]",Севастополь,"[СЕ_2,СЕ_1,СЕ_4]",836.564,86.3667,117.733,6.000000
21,"[3,0,4,1]",Екатеринбург,"[6,2,7]",Москва,"[МО_6,МО_2,МО_7]",4339.86,540.933,597.867,6.000000
22,"[0,3,4,1]",Пермь,"[6,7,3]",Москва,"[МО_6,МО_7,МО_3]",6979.28,597.867,649.667,6.000000
23,"[3,1,2]",Иркутск,"[26,27,25]",Хабаровск,"[ХА_4,ХА_5,ХА_3]",1033.09,111.9,223.8,5.000000
24,"[0,2]",Ростов,"[17,18]",Севастополь,"[СЕ_1,СЕ_2]",658.246,117.733,148.1,5.000000
