id,tasks,request_city,team,team_city,team_names,LC,start,finish,op_time
0,"[0,2,1,3]",Самара,"[6,4,3]",Москва,"[МО_6,МО_4,МО_3]",117.355,0,24.5333,5.000000
1,"[3,0,1]",Екатеринбург,"[7,0,1]",Москва,"[МО_7,МО_0,МО_1]",186.318,0,54.9333,4.000000
2,"[1,3,0,2]",Саратов,"[2,5]",Москва,"[МО_2,МО_5]",149.416,0,39.2,11.000000
3,"[2,0,3,1]",Иркутск,"[22,27,26]",Хабаровск,"[ХА_0,ХА_5,ХА_4]",463.138,0,111.9,5.000000
4,"[4,3,1,2]",Уфа,"[15,13,14,12]",Санкт-Петербург,"[СА_7,СА_5,СА_6,СА_4]",279.979,0,53.7,6.000000
5,"[2,4,3]",Уфа,"[8,9,11]",Санкт-Петербург,"[СА_0,СА_1,СА_3]",196.771,0,53.7,6.000000
6,"[0,1,2,4]",Саратов,"[6,4,3]",Москва,"[МО_6,МО_4,МО_3]",405.299,24.5333,58.7333,6.000000
7,"[1,4]",Казань,"[2,5]",Москва,"[МО_2,МО_5]",366.347,39.2,72.9,6.000000
8,"[3,1]",Уфа,"[20,18]",Севастополь,"[СЕ_4,СЕ_2]",186.949,0,86.3333,4.000000
9,"[0,1,4,3]",Краснодар,"[1,0,7]",Москва,"[МО_1,МО_0,МО_7]",770.502,54.9333,105.533,6.000000
10,"[0,1,2]",Челябинск,"[21,19,17]",Севастополь,"[СЕ_5,СЕ_3,СЕ_1]",311.732,0,100.467,5.000000
11,"[2,4,3,1]",Ростов,"[4,3,6]",Москва,"[МО_4,МО_3,МО_6]",781.975,58.7333,101.1,7.000000
12,"[0,1,4,3]",Казань,"[13,9,14]",Санкт-Петербург,"[СА_5,СА_1,СА_6]",989.163,53.7,102.167,6.000000
13,"[0,4]",Саратов,"[5,2]",Москва,"[МО_5,МО_2]",602.822,72.9,107.1,6.000000
14,"[0,4]",Пермь,"[6,3]",Москва,"[МО_6,МО_3]",944.188,101.1,152.9,6.000000
15,"[0,1]",Уфа,"[0,7]",Москва,"[МО_0,МО_7]",714.719,105.533,141.467,3.000000
16,"[3,4,1,2]",Екатеринбург,"[12,8,11,15]",Санкт-Петербург,"[СА_4,СА_0,СА_3,СА_7]",1027.24,53.7,125.4,6.000000
17,"[1,3,4,0]",Пермь,"[1,5,2]",Москва,"[МО_1,МО_5,МО_2]",1407.64,107.1,158.9,6.000000
18,"[0,3,2,4]",Ростов,"[16,20]",Севастополь,"[СЕ_0,СЕ_4]",647.541,86.3333,121.7,10.000000
19,"[3,2,0,4]",Челябинск,"[13,9,14]",Санкт-Петербург,"[СА_5,СА_1,СА_6]",1743.19,102.167,169,6.000000
20,"[2,4,1]",Ростов,"[21,19,18]",Севастополь,"[СЕ_5,СЕ_3,СЕ_2]",693.397,100.467,131.833,6.000000
21,"[3,0,4,1]",Екатеринбург,"[7,4,0]",Москва,"[МО_7,МО_4,МО_0]",1328.26,141.467,199.4,7.000000
22,"[0,3,4,1]",Пермь,"[3,6]",Москва,"[МО_3,МО_6]",1445.15,152.9,206.7,8.000000
23,"[3,1,2]",Иркутск,"[26,27,25]",Хабаровск,"[ХА_4,ХА_5,ХА_3]",1033.09,111.9,223.8,5.000000
24,"[0,2]",Ростов,[17],Севастополь,[СЕ_1],360.52,100.467,132.833,7.000000
