id,tasks,request_city,team,team_city,team_names,LC,start,finish,op_time
0,"[0,1,4,2,6]",Волгоград,"[0,1]",Москва,"[МО_0,МО_1]",227.881,0,47.3333,15.000000
1,"[4,6,3]",Иркутск,"[37,39]",Хабаровск,"[ХА_0,ХА_2]",394.09,0,117.9,11.000000
2,"[0,2,1,5,3]",Екатеринбург,"[2,3]",Москва,"[МО_2,МО_3]",301.436,0,59.9333,9.000000
3,"[2,1,5]",Волгоград,"[4,5]",Москва,"[МО_4,МО_5]",135.73,0,38.8333,6.500000
4,"[6,0,1,4,3]",Челябинск,[6],Москва,[МО_6],249.35,0,68.0667,22.000000
5,"[3,5,4]",Уфа,"[7,8]",Москва,"[МО_7,МО_8]",136.858,0,42.4333,9.500000
6,"[6,2,1]",Саратов,"[9,10]",Москва,"[МО_9,МО_10]",136.919,0,36.2,8.000000
7,"[4,6,3,0,1]",Казань,"[15,18]",Санкт-Петербург,"[СА_0,СА_3]",247.853,0,54.4667,12.000000
8,"[6,0,1]",Самара,"[16,19,20]",Санкт-Петербург,"[СА_1,СА_4,СА_5]",165.043,0,41.3,7.000000
9,"[0,6,3]",Екатеринбург,"[11,13]",Москва,"[МО_11,МО_13]",189.779,0,59.9333,9.000000
10,"[0,4,5,3,1]",Екатеринбург,"[17,21,22]",Санкт-Петербург,"[СА_2,СА_6,СА_7]",392.826,0,75.2,9.500000
11,"[0,2,3,4]",Уфа,"[12,14]",Москва,"[МО_12,МО_14]",157.71,0,43.9333,11.000000
12,"[2,6,1,5]",Ростов,"[27,28,29]",Севастополь,"[СЕ_0,СЕ_1,СЕ_2]",187.628,0,35.3667,10.000000
13,"[1,4,0]",Саратов,"[23,24]",Санкт-Петербург,"[СА_8,СА_9]",191.587,0,52.3333,8.000000
14,"[4,1,0]",Саратов,[25],Санкт-Петербург,[СА_10],155.929,0,55.3333,11.000000
15,"[4,5,6,3]",Самара,[26],Санкт-Петербург,[СА_11],165.512,0,54.8,20.500000
16,"[4,3,0]",Иркутск,"[38,40]",Хабаровск,"[ХА_1,ХА_3]",345.69,0,112.9,6.000000
17,"[3,5,2,6,4]",Самара,"[30,33]",Севастополь,"[СЕ_3,СЕ_6]",374.904,0,82.4667,14.500000
18,"[0,1,5,2]",Саратов,"[41,42]",Хабаровск,"[ХА_4,ХА_5]",905.523,0,222.167,11.500000
19,"[6,3,1]",Ростов,"[31,32]",Севастополь,"[СЕ_4,СЕ_5]",105.46,0,32.3667,7.000000
20,"[0,2,5]",Саратов,"[43,45]",Хабаровск,"[ХА_6,ХА_8]",654.368,0,217.667,7.000000
21,"[0,3,6,5]",Краснодар,"[44,46]",Хабаровск,"[ХА_7,ХА_9]",1010.78,0,255.267,9.000000
22,"[5,2,4]",Иркутск,"[34,35,27]",Севастополь,"[СЕ_7,СЕ_8,СЕ_0]",850.986,35.3667,251.4,6.000000
23,"[6,4,0]",Краснодар,"[36,31]",Севастополь,"[СЕ_9,СЕ_4]",274.795,32.3667,58,8.000000
24,"[1,3,0]",Волгоград,[32],Севастополь,[СЕ_5],259.217,32.3667,82.3667,9.000000
25,"[4,0,3]",Краснодар,"[28,29]",Севастополь,"[СЕ_1,СЕ_2]",518.854,35.3667,59,6.000000
26,"[2,0,5]",Уфа,[9],Москва,[МО_9],340.238,36.2,79.6333,10.500000
27,"[3,5,2,4,0]",Челябинск,"[10,5]",Москва,"[МО_10,МО_5]",746.853,38.8333,95.4,10.500000
28,"[4,6,1,0,2]",Екатеринбург,"[16,19,20]",Санкт-Петербург,"[СА_1,СА_4,СА_5]",982.783,41.3,117,10.000000
29,"[0,4,2,1,6]",Челябинск,"[4,7,8]",Москва,"[МО_4,МО_7,МО_8]",747.209,42.4333,99.5,11.000000
30,"[5,1,3]",Пермь,"[12,14,0]",Москва,"[МО_12,МО_14,МО_0]",668.418,47.3333,97.1333,4.000000
31,"[6,3,2,4,5]",Ростов,[1],Москва,[МО_1],551.326,47.3333,108.2,25.500000
32,"[4,3,0,5]",Саратов,"[23,24]",Санкт-Петербург,"[СА_8,СА_9]",919.21,52.3333,106.167,9.500000
33,"[3,5,1]",Краснодар,"[15,18,26]",Санкт-Петербург,"[СА_0,СА_3,СА_11]",1063.48,54.8,126.933,4.000000
34,"[4,6,5,3,0]",Саратов,"[31,36,28]",Севастополь,"[СЕ_4,СЕ_9,СЕ_1]",1038.92,59,126.4,14.500000
35,"[1,6,0,3]",Иркутск,[29],Севастополь,[СЕ_2],1285.4,59,285.033,16.000000
36,"[4,3,6,1,0]",Волгоград,"[2,3]",Москва,"[МО_2,МО_3]",946.727,59.9333,105.267,13.000000
37,"[1,4,5]",Казань,[25],Санкт-Петербург,[СА_10],486.828,55.3333,110.3,12.500000
38,"[6,5,4]",Самара,[11],Москва,[МО_11],383.706,59.9333,95.9667,16.500000
39,"[5,3,4,2,0]",Казань,"[17,21,22]",Санкт-Петербург,"[СА_2,СА_6,СА_7]",1328.41,75.2,126.667,9.000000
