id,tasks,request_city,team,team_city,team_names,LC,start,finish,op_time
0,"[0,1,4,2,6]",Волгоград,"[4,12]",Москва,"[МО_4,МО_12]",193.224,0,50.3333,18.000000
1,"[4,6,3]",Иркутск,[40],Хабаровск,[ХА_3],351.127,0,123.9,17.000000
2,"[0,2,1,5,3]",Екатеринбург,"[11,7]",Москва,"[МО_11,МО_7]",279.731,0,61.4333,10.500000
3,"[2,1,5]",Волгоград,[2],Москва,[МО_2],116.082,0,43.8333,11.500000
4,"[6,0,1,4,3]",Челябинск,[1],Москва,[МО_1],260.016,0,68.0667,22.000000
5,"[3,5,4]",Уфа,[8],Москва,[МО_8],117.253,0,46.4333,13.500000
6,"[6,2,1]",Саратов,[0],Москва,[МО_0],97.0126,0,43.2,15.000000
7,"[4,6,3,0,1]",Казань,"[10,9]",Москва,"[МО_10,МО_9]",187.645,0,38.7,11.000000
8,"[6,0,1]",Самара,[6],Москва,[МО_6],87.5093,0,31.5333,12.000000
9,"[0,6,3]",Екатеринбург,[5],Москва,[МО_5],189.224,0,63.9333,13.000000
10,"[0,4,5,3,1]",Екатеринбург,"[13,3]",Москва,"[МО_13,МО_3]",293.58,0,60.4333,9.500000
11,"[0,2,3,4]",Уфа,[15],Санкт-Петербург,[СА_0],193.591,0,64.7,17.000000
12,"[2,6,1,5]",Ростов,"[33,31]",Севастополь,"[СЕ_6,СЕ_4]",124.639,0,35.3667,10.000000
13,"[1,4,0]",Саратов,[25],Санкт-Петербург,[СА_10],155.929,0,55.3333,11.000000
14,"[4,1,0]",Саратов,[18],Санкт-Петербург,[СА_3],147.963,0,55.3333,11.000000
15,"[4,5,6,3]",Самара,"[17,21]",Санкт-Петербург,"[СА_2,СА_6]",173.533,0,45.3,11.000000
16,"[4,3,0]",Иркутск,[41],Хабаровск,[ХА_4],332.302,0,118.9,12.000000
17,"[3,5,2,6,4]",Самара,[23],Санкт-Петербург,[СА_8],193.273,0,59.8,25.500000
18,"[0,1,5,2]",Саратов,[20],Санкт-Петербург,[СА_5],196.683,0,57.8333,13.500000
19,"[6,3,1]",Ростов,"[28,35]",Севастополь,"[СЕ_1,СЕ_8]",109.757,0,32.3667,7.000000
20,"[0,2,5]",Саратов,"[16,26]",Санкт-Петербург,"[СА_1,СА_11]",160.471,0,49.8333,5.500000
21,"[0,3,6,5]",Краснодар,"[27,30]",Севастополь,"[СЕ_0,СЕ_3]",104.862,0,28.6333,11.000000
22,"[5,2,4]",Иркутск,[37],Хабаровск,[ХА_0],343.458,0,121.4,14.500000
23,"[6,4,0]",Краснодар,[29],Севастополь,[СЕ_2],97.6252,0,32.6333,15.000000
24,"[1,3,0]",Волгоград,[34],Севастополь,[СЕ_7],129.75,0,50,9.000000
25,"[4,0,3]",Краснодар,"[36,32]",Севастополь,"[СЕ_9,СЕ_5]",75.7749,0,23.6333,6.000000
26,"[2,0,5]",Уфа,[24],Санкт-Петербург,[СА_9],174.942,0,58.2,10.500000
27,"[3,5,2,4,0]",Челябинск,"[19,22]",Санкт-Петербург,"[СА_4,СА_7]",357.125,0,71.8333,11.000000
28,"[4,6,1,0,2]",Екатеринбург,"[10,0]",Москва,"[МО_10,МО_0]",673.684,43.2,107.133,13.000000
29,"[0,4,2,1,6]",Челябинск,"[6,14]",Москва,"[МО_6,МО_14]",514.444,31.5333,95.6,18.000000
30,"[5,1,3]",Пермь,[2],Москва,[МО_2],370.892,43.8333,100.133,10.500000
31,"[6,3,2,4,5]",Ростов,[28],Севастополь,[СЕ_1],291.974,32.3667,83.2333,25.500000
32,"[4,3,0,5]",Саратов,[9],Москва,[МО_9],365.333,38.7,82.4,15.500000
33,"[3,5,1]",Краснодар,"[32,27]",Севастополь,"[СЕ_5,СЕ_0]",268.12,28.6333,53.2667,7.000000
34,"[4,6,5,3,0]",Саратов,[29],Севастополь,[СЕ_2],523.293,32.6333,108.033,22.500000
35,"[1,6,0,3]",Иркутск,"[44,46]",Хабаровск,"[ХА_7,ХА_9]",455.317,0,116.9,10.000000
36,"[4,3,6,1,0]",Волгоград,"[36,30]",Севастополь,"[СЕ_9,СЕ_3]",460.527,28.6333,82.6333,13.000000
37,"[1,4,5]",Казань,"[4,12]",Москва,"[МО_4,МО_12]",459.04,50.3333,84.5333,6.500000
38,"[6,5,4]",Самара,[8],Москва,[МО_8],316.022,46.4333,82.4667,16.500000
39,"[5,3,4,2,0]",Казань,"[17,15]",Санкт-Петербург,"[СА_2,СА_0]",656.452,64.7,124.167,17.000000
