id,tasks,request_city,team,team_city,team_names,LC,start,finish,op_time
0,"[0,1,4,2,6]",Волгоград,"[10,0,11,5]",Москва,"[МО_10,МО_0,МО_11,МО_5]",249.375,0,39.3333,7.000000
1,"[4,6,3]",Иркутск,"[39,45,41]",Хабаровск,"[ХА_2,ХА_8,ХА_4]",386.747,0,113.9,7.000000
2,"[0,2,1,5,3]",Екатеринбург,"[3,9,6,13]",Москва,"[МО_3,МО_9,МО_6,МО_13]",325.815,0,55.9333,5.000000
3,"[2,1,5]",Волгоград,"[14,7,12]",Москва,"[МО_14,МО_7,МО_12]",128.601,0,37.3333,5.000000
4,"[6,0,1,4,3]",Челябинск,"[8,1,4,2]",Москва,"[МО_8,МО_1,МО_4,МО_2]",314.585,0,53.0667,7.000000
5,"[3,5,4]",Уфа,"[22,20,18]",Санкт-Петербург,"[СА_7,СА_5,СА_3]",208.666,0,53.7,6.000000
6,"[6,2,1]",Саратов,"[19,24,26]",Санкт-Петербург,"[СА_4,СА_9,СА_11]",217.061,0,51.3333,7.000000
7,"[4,6,3,0,1]",Казань,"[25,23,21,15]",Санкт-Петербург,"[СА_10,СА_8,СА_6,СА_0]",298.484,0,49.4667,7.000000
8,"[6,0,1]",Самара,"[12,5]",Москва,"[МО_12,МО_5]",527.693,39.3333,65.8667,7.000000
9,"[0,6,3]",Екатеринбург,"[14,7]",Москва,"[МО_14,МО_7]",398.066,37.3333,95.2667,7.000000
10,"[0,4,5,3,1]",Екатеринбург,"[34,33,29,35]",Севастополь,"[СЕ_7,СЕ_6,СЕ_2,СЕ_8]",563.623,0,106.333,6.000000
11,"[0,2,3,4]",Уфа,"[30,32,28]",Севастополь,"[СЕ_3,СЕ_5,СЕ_1]",378.965,0,88.3333,6.000000
12,"[2,6,1,5]",Ростов,"[31,36,27]",Севастополь,"[СЕ_4,СЕ_9,СЕ_0]",160.962,0,37.3667,12.000000
13,"[1,4,0]",Саратов,"[10,0]",Москва,"[МО_10,МО_0]",466.404,39.3333,73.5333,6.000000
14,"[4,1,0]",Саратов,"[1,4]",Москва,"[МО_1,МО_4]",650.754,53.0667,87.2667,6.000000
15,"[4,5,6,3]",Самара,"[11,2,8]",Москва,"[МО_11,МО_2,МО_8]",884.302,53.0667,80.1,7.500000
16,"[4,3,0]",Иркутск,"[37,46]",Хабаровск,"[ХА_0,ХА_9]",350.508,0,112.9,6.000000
17,"[3,5,2,6,4]",Самара,"[13,9,3,6]",Москва,"[МО_13,МО_9,МО_3,МО_6]",1435.44,55.9333,82.9667,7.500000
18,"[0,1,5,2]",Саратов,"[36,27,31]",Севастополь,"[СЕ_9,СЕ_0,СЕ_4]",612.565,37.3667,95.2667,5.000000
19,"[6,3,1]",Ростов,"[12,5]",Москва,"[МО_12,МО_5]",873.954,65.8667,108.233,7.000000
20,"[0,2,5]",Саратов,"[25,21,17]",Санкт-Петербург,"[СА_10,СА_6,СА_2]",770.625,49.4667,98.8,5.000000
21,"[0,3,6,5]",Краснодар,"[32,30,28]",Севастополь,"[СЕ_5,СЕ_3,СЕ_1]",1362.72,88.3333,112.967,7.000000
22,"[5,2,4]",Иркутск,"[42,43,40]",Хабаровск,"[ХА_5,ХА_6,ХА_3]",385.148,0,112.9,6.000000
23,"[6,4,0]",Краснодар,"[31,27,36]",Севастополь,"[СЕ_4,СЕ_0,СЕ_9]",1048.73,95.2667,119.9,7.000000
24,"[1,3,0]",Волгоград,"[23,15,16]",Санкт-Петербург,"[СА_8,СА_0,СА_1]",745.311,49.4667,109.333,4.000000
25,"[4,0,3]",Краснодар,"[19,24]",Санкт-Петербург,"[СА_4,СА_9]",864.077,51.3333,125.467,6.000000
26,"[2,0,5]",Уфа,"[22,18,20]",Санкт-Петербург,"[СА_7,СА_3,СА_5]",1109.92,53.7,106.4,5.000000
27,"[3,5,2,4,0]",Челябинск,"[2,10,0,11]",Москва,"[МО_2,МО_10,МО_0,МО_11]",1778.9,80.1,132.167,6.000000
28,"[4,6,1,0,2]",Екатеринбург,"[6,8,3,9]",Москва,"[МО_6,МО_8,МО_3,МО_9]",2340.61,82.9667,140.9,7.000000
29,"[0,4,2,1,6]",Челябинск,"[14,1,4,7]",Москва,"[МО_14,МО_1,МО_4,МО_7]",1760.4,95.2667,148.333,7.000000
30,"[5,1,3]",Пермь,[26],Санкт-Петербург,[СА_11],510.8,51.3333,122.4,10.500000
31,"[6,3,2,4,5]",Ростов,"[29,34,33,35]",Севастополь,"[СЕ_2,СЕ_7,СЕ_6,СЕ_8]",2130.83,106.333,140.2,8.500000
32,"[4,3,0,5]",Саратов,"[12,5,13]",Москва,"[МО_12,МО_5,МО_13]",1652.31,108.233,142.433,6.000000
33,"[3,5,1]",Краснодар,"[30,28,32]",Севастополь,"[СЕ_3,СЕ_1,СЕ_5]",1671.76,112.967,134.6,4.000000
34,"[4,6,5,3,0]",Саратов,"[25,21,17]",Санкт-Петербург,"[СА_10,СА_6,СА_2]",1661.94,98.8,151.133,8.000000
35,"[1,6,0,3]",Иркутск,"[42,40,46]",Хабаровск,"[ХА_5,ХА_3,ХА_9]",2302.75,112.9,226.8,7.000000
